#tax_id,GeneID,Symbol
9606,491,ATP2B2
9606,492,ATP2B3
9606,493,ATP2B4
9606,495,ATP4A
9606,496,ATP4B
9606,498,ATP5F1A
9606,501,ALDH7A1
9606,504,ATP5F1AP2
9606,506,ATP5F1B
9606,507,ATP5F1BP1
9606,509,ATP5F1C
9606,513,ATP5F1D
9606,514,ATP5F1E
9606,515,ATP5PB
9606,516,ATP5MC1
9606,517,ATP5MC2
9606,518,ATP5MC3
9606,520,ATP5MC2P1
9606,521,ATP5ME
9606,522,ATP5PF
9606,523,ATP6V1A
9606,525,ATP6V1B1
9606,526,ATP6V1B2
9606,527,ATP6V0C
9606,528,ATP6V1C1
9606,529,ATP6V1E1
9606,533,ATP6V0B
9606,534,ATP6V1G2
9606,535,ATP6V0A1
9606,537,ATP6AP1
9606,538,ATP7A
9606,539,ATP5PO
9606,540,ATP7B
9606,541,ALDH7A1P1
9606,542,ALDH7A1P2
9606,543,ALDH7A1P3
9606,544,ALDH7A1P4
9606,545,ATR
9606,546,ATRX
9606,547,KIF1A
9606,549,AUH
9606,550,AUP1
9606,551,AVP
9606,552,AVPR1A
9606,553,AVPR1B
9606,554,AVPR2
9606,558,AXL
9606,560,AZF1
9606,563,AZGP1
9606,566,AZU1
9606,567,B2M
9606,568,B2MR
9606,570,BAAT
9606,571,BACH1
9606,572,BAD
9606,573,BAG1
9606,574,BAGE
9606,575,ADGRB1
9606,576,ADGRB2
9606,577,ADGRB3
9606,578,BAK1
9606,579,NKX3-2
9606,580,BARD1
9606,581,BAX
9606,582,BBS1
9606,583,BBS2
9606,585,BBS4
9606,586,BCAT1
9606,587,BCAT2
9606,590,BCHE
9606,593,BCKDHA
9606,594,BCKDHB
9606,595,CCND1
9606,596,BCL2
9606,597,BCL2A1
9606,598,BCL2L1
9606,599,BCL2L2
9606,600,BAK1P1
9606,601,BAK1P2
9606,602,BCL3
9606,603,BCL5
9606,604,BCL6
9606,605,BCL7A
9606,606,NBEAP1
9606,607,BCL9
9606,608,TNFRSF17
9606,610,HCN2
9606,611,OPN1SW
9606,613,BCR
9606,616,BCRP4
9606,617,BCS1L
9606,618,BCYRN1
9606,619,BCYRN1P1
9606,620,BCYRN1P2
9606,622,BDH1
9606,623,BDKRB1
9606,624,BDKRB2
9606,627,BDNF
9606,628,BEVI
9606,629,CFB
9606,631,BFSP1
9606,632,BGLAP
9606,633,BGN
9606,634,CEACAM1
9606,635,BHMT
9606,636,BICD1
9606,637,BID
